product_title,rating(),rating_count,selling_price,MRP,dicountvalue,discount
"Blue Star M Series 5 in 1 Convertible 1 Ton 3 Star Inverter Split AC with DigiQ Penta Sensor (Copper Condenser, IE312MNU ",5,1,32490,51750,19260,37% Off
VOLTAS 183v Vertis Elite Marvel 5 in 1 Convertible 1.5 Ton 3 Star Inverter Split AC with 4Way Swing (Copper Condenser ,4.7,9,37690,68990,31300,45% Off
"O GENERAL CPA Series 1 Ton 3 Star Inverter Split AC (Copper Condenser, Anti Bacterial Filter, ASGG12CPAAB ",4,8,38990,43330,4340,10% Off
"Midea Santis Pro Plus Deluxe 4 in 1 Convertible 1.5 Ton 3 Star Inverter Split AC with Auto Cleanser (Copper Condenser, MAI18SP3R34F0 ",3.7,3,33490,61790,28300,46% Off
,Fans,,,,,
"BAJAJ Pygmy Mini 110mm 3 Blade Rechargeable Personal Fan with 1800 mAh Battery (Silent Operation, Cerulean Blue ",3.5,85,1199,1620,421,26% Off
"BAJAJ Pygmy Mini 110mm 3 Blade Rechargeable Personal Fan with 1800 mAh Battery (Silent Operation, White Smoke ",3.4,32,1149,1620,471,29% Off
"USHA Maxx Air Ultra 400mm 3 Blade Thermal Overload Protector Table Fan (Jerk Free Oscillation, White ",4.5,17,1944,3100,1156,37% Off
"Crompton High Flo Wave Plus 400mm 3 Blade Copper Motor Table Fan (Aerodynamically Designed Blades, White ",4.3,9,1969,3149,1180,37% Off
"USHA Maxx Air Ultra 400mm 3 Blade Copper Motor Pedestal Fan (Sturdy Blades, White ",3,4,2799,4250,1451,34% Off
"Croma ECO 2 1200mm 3 Blade Copper Motor Ceiling Fan (Energy Efficient, Dark Coffee ",3.6,8,1999,3000,1001,33% Off
"BAJAJ Air Light 85mm 7 Blade Rechargeable Personal Fan with 1800 mAh Battery (Low Power Consumption, White ",3.4,11,1100,2000,900,45% Off
"Croma AF2093 5 Star 1200mm 3 Blade BLDC Motor Ceiling Fan with Remote (Energy Efficient, Smoke Brown ",2,5,3299,4200,901,21% Off
"PHILIPS 5000 Series Bladeless 2230 m3/hr Air Delivery Tower Fan with Remote (Quiet Sleep mode, Black ",2.3,6,8999,10490,1491,14% Off
"PORTRONICS Aero Breeze 178mm 3 Blade BLDC Motor Table Fan (360 Degree Cooling, White ",4.5,2,1075,3999,2924,73% Off
"HAVELLS Stealth Air 5 Star 1200mm 3 Blade BLDC Motor Ceiling Fan with Remote (Double Ball Bearing, Pearl White ",2,4,6852,12050,5198,43% Off
"USHA Mist Air Flo 400mm 3 Blade Inverter Technology Table Fan (Durable Design, Light Blue ",3,2,2499,2725,226,8% Off
"USHA Mist Air Flo 400mm 3 Blade Copper Motor Pedestal Fan (Aerodynamically Design, Light Blue ",5,2,2700,3490,790,23% Off
"Croma Tower Fan (3 Speed Settings, Grey ",1,4,5799,6000,201,3% Off
"Croma AF2305 4 Blade Rechargeable Personal Fan with 2000 mAh Battery (BLDC Copper Motor, White ",5,1,1099,1200,101,8% Off
"HAVELLS Elio 5 Star 1200mm 3 Blade BLDC Motor Ceiling Fan with Remote (Wood Finished Blades, Bianco ",5,1,3999,6530,2531,39% Off
"atomberg Studio 6 Inch 150mm Exhaust Fan with BLDC Motor (Double Ball Bearings, Black ",5,1,1649,3200,1551,48% Off
"GM Eco Air 150mm Exhaust Fan (Low Noise Operation, Black ",4.5,2,1219,1350,131,10% Off
"atomberg Renesa Smart 5 Star 1200mm 3 Blade BLDC Motor Smart Ceiling Fan with Remote (Boost Mode, Misty Teal ",1,1,3899,7350,3451,47% Off
"Crompton Torpedo 400mm 3 Blade High Speed Torpedo Table Fan (Smooth Oscillation, Black ",4.3,6,2379,3560,1181,33% Off
